#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s)
8337,Road Legends,"Mar 21, 2018",4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Art Of Adventures,Art Of Adventures
8338,Comrades and Barons: Solitaire of Bloody 1919,"Feb 8, 2018",7.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Maris Ozols,Maris Ozols
8339,DAOKER:A BANISHED TIGER,"May 17, 2018",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),不想上班工作室™,大沃电艺
8340,Satan's Castle,"Mar 8, 2018",0.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),HUNTERS,HUNTERS
8341,SEQUENCE STORM,"Dec 21, 2018",14.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),"SPECIAL MAGIC GAMES, LLC","SPECIAL MAGIC GAMES, LLC"
8342,International Space Station Tour VR,"Mar 22, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),The House of Fables,The House of Fables
8343,STAR SAGA ONE - RISE OF THE DOMINATORS,"Jan 19, 2018",0.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Grumpy Otis Games,Grumpy Otis Games
8344,Logout,"May 1, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),PlayWrite Studios,PlayWrite Studios
8345,Cubians : Rescue Princess,"Jan 16, 2018",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),IKINA GAMES,IKINA GAMES
8346,Karate Krab,"Feb 16, 2018",9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Liquid Sapling,Liquid Sapling
8347,Deadly Tropics,"Apr 23, 2018",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Corpix,Corpix
8348,Alicia Quatermain 3: The Mystery of the Flaming Gold,"Dec 19, 2018",2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),"Jetdogs Studios, Whalebox",Jetdogs Studios
8349,JuBOX,"Jul 27, 2018",0.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Firehawk Studios,Firehawk Studios
8350,Mind Labyrinth VR Dreams,"Oct 14, 2018",24.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Frost Earth Studio,OXYGENE MEDIA
8351,Time,"Sep 13, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),David AE,David AE
8352,The Mysteries of Baroque,"Sep 20, 2018",4.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Choice of Games,Choice of Games
8353,Bladeline VR,"Nov 13, 2018",11.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),AIXLAB,AIXLAB
8354,Teleporter,"Sep 25, 2018",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),"Teleporter Realities, Inc.","Teleporter Realities, Inc."
